Course,Course_Long,College,Latest_Faculty,Average_Student_Count,Last_Offered,Community_Partners,Roles,Student_Hours
AFAM 2360,AFAM 2360 Politics of Poverty,CSSH,Gia Barboza,12,Fall 2011,null,null,null
AFAM 2399,AFAM 2399 Black Community & Social Change,CSSH,Marion Mason,27,Fall 2009,null,null,null
ARTD 4582,ARTD 4582 Collaborative Video and Community Engagement,CAMD,Alessandra Renzi,9,Fall 2015,"Bird Street Community Center, Little Brothers - Friends of the Elderly, Mujeres Unidas Avanzando, Northeastern University Service-Learning Program, St. Stephen's Youth Programs, The DREAM Program",Service-Learning Teaching Assistant,28
ARTF 1121,ARTF 1121 Conceptual Drawing,CAMD,Jamal Thorne,16,Spring 2015,Artists For Humanity,Consultant (artist),5
ARTF 1122,ARTF 1122 2D Fundamentals of Surface and Drawing ,CAMD,Jamal Thorne,15,Spring 2017,"Artists For Humanity, Lower Roxbury Coalition, Northeastern University Service-Learning Program","Art Mentor, Service-Learning Teaching Assistant, Service-Learning Team Manager",20
ARTF 2223,ARTF 2223 5D Fundamentals: Experience and Drawing,CAMD,Kara Braciale ,15,Spring 2017,null,null,null
BIOL 2299,BIOL 2299 Inquiries in  Biology,COS,Missy McElligott,34,Spring 2017,"Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Citizen Schools, MathPOWER, Mujeres Unidas Avanzando, Northeastern University Service-Learning Program, Science Club for Girls, Sneakers to Beakers Inc, United South End Settlements","Activity Assistant, Activity Assistant (Biology), Activity Assistant (Biology/Nutrition), Biology Workshop Developer, Citizen Teacher, Consultant, Curriculum Consultant, Curriculum Developer, Enrichment Providers, Health Workshop Developer, HiSET Materials Developer, Mentor, Project Consultant, Service-Learning Teaching Assistant, Teacher, Tutor, Tutor (After School Program), Tutor (After-School Program)",28
CAEP 2010,CAEP 2010 Counseling & Applied Educational Psychology in a Global Context,Bouve,Vanessa Johnson,16,Summer 2016,null,null,null
CAEP 6347,CAEP 6347 Behavior Management in the Classroom,Bouve,Jessica Hoffman,22,Spring 2011,null,null,null
CAEP 6365,CAEP 6365 Seminar in School Psychology,Bouve,Louis Kruger,1,Fall 2016,null,null,null
CHNS 3101,CHNS 3101 Advanced Chinese 1,CSSH,Hua Dong,11,Spring 2017,"ABCD South End Neighborhood Service Center, Action Boston Community Development (ABCD), Boston Housing Authority, Boston Public Schools, World Languages Program, Fenway Community Development Corporation, Little Brothers - Friends of the Elderly, Massachusetts International Academy, Northeastern University Service-Learning Program, Roxbury Tenants of Harvard, Wang YMCA of Chinatown","Activity Assistant, Case Manager, Classroom Assistant, Communication Partner, Consultant (Interpreter), Conversation Partner, Language Access Intern, Oral History Project, Service-Learning Teaching Assistant, Tutor, Volunteer Interpreter",16
CHNS 3102,CHNS 3102 Advanced Chinese 2,CSSH,Jianna (Chia-Huei) Chang,7,Spring 2017,"ABCD South End Neighborhood Service Center, Action Boston Community Development (ABCD), Boston Housing Authority, Boston Public Schools, World Languages Program, Fenway Community Development Corporation, Little Brothers - Friends of the Elderly, Mason Place Housing Development, Massachusetts International Academy, Northeastern University Service-Learning Program, Roxbury Tenants of Harvard, Wang YMCA of Chinatown","Activity Assistant, Case Manager, Classroom Assistant, Communication Partner, Consultant (Interpreter), Conversation Partner, Fitness Mentor, Oral History Project, Project Consultant, Service-Learning Teaching Assistant, Service-Learning Team Manager, Tutor, Volunteer Interpreter",18
CHNS 4101,CHNS 4101 Advanced Proficiency Chinese 1,CSSH,Jane Zhen,5,Fall 2012,null,null,null
CHNS 4800,CHNS 4800 Advanced Chinese 3,CSSH,Jane Zhen,8,Spring 2012,null,null,null
CHNS 4800,CHNS 4800 Special Topics in Chinese,CSSH,Shandan Zuo,10,Fall 2011,null,null,null
COMM 1112,COMM 1112 Public Speaking,CAMD,Greg Goodale,19,Fall 2012,null,null,null
COMM 1231,COMM 1231 Principles of Organizational Communication,CAMD,Elise Dallimore,19,Spring 2017,"Action Boston Community Development (ABCD), BalletRox Inc, Edward M. Kennedy Academy For Health Careers, Healthy Kids, Healthy Futures, Literacy Volunteers of Massachusetts, MathPOWER, Northeastern University Service-Learning Program, WriteBoston, YMCA International Learning Center","Activity Assistant (Student Support), Activity Leader (Madison Site), Classroom Assistant, HR/Recruitment Assistant, Program Support Assistant, Service-Learning Team Manager, Social Media Assistant, Tutor, Writing Tutor",18
COMM 1412,COMM 1412 Social Movement Communication,CAMD,Greg Goodale,24,Spring 2016,"50 Cents for 50 Million, Action Boston Community Development (ABCD), Boston Cares, Generation Citizen, Let's Get Ready, Little Brothers - Friends of the Elderly, Sneakers to Beakers Inc","Business Consultant, Consultant, Consultant (Communication), Program Assistant, Project Consultant",1
COMM 3230,COMM 3230 Interpersonal Communication,CAMD,Elise Dallimore,13,Spring 2016,"ABCD North End/West End Neighborhood Service Center, Action Boston Community Development (ABCD), BalletRox Inc, Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, HandsOn Tech Boston, Healthy Kids, Healthy Futures, Literacy Volunteers of Massachusetts, MathPOWER, Neighborhood Network Center, Northeastern University Service-Learning Program, United South End Settlements, YMCA International Learning Center","Activity Assistant (Music Room), Activity Assistant (Student Activity Leader), Activity Assistant (Student Support), Activity Leader (Madison Site), Administrative Assistant (Registration/Resources Staff), Classroom Assistant, Consultant, HR/Recruitment Assistant, Service-Learning Teaching Assistant, Social Media Assistant, Tutor, Tutor (Workforce Readiness)",35
COMM 3331,COMM 3331 Argumentation & Debate,CAMD,David Cisneros,15,Fall 2010,null,null,null
COMM 3409,COMM 3409 Advocacy Writing,CAMD,Greg Goodale,18,Spring 2017,"Children's League of Massachusetts, Doc Wayne, Eagle Eye Institute",Consultant,1
COMM 4533,COMM 4533 Consultation Skills,CAMD,Elise Dallimore,13,Fall 2014,"Massachusetts Promise Fellowship, New England Center for Arts & Technology, Northeastern University Service-Learning Program","Consultant, Service-Learning Teaching Assistant, Social Change Research Associate",138
COMM 4534,COMM 4534 Organizational Communication Training & Development,CAMD,Elise Dallimore,12,Fall 2012,null,null,null
COMM 4603,COMM 4603 Advocacy Workshop,CAMD,Greg Goodale,16,Spring 2016,"Northeastern Crossing, Northeastern University Service-Learning Program","Advocacy Consultant, Consultant, Service-Learning Teaching Assistant",5
COMM1412 ,COMM1412 Social Movements Communication,CAMD,Greg Goodale & Liz Tashash,13,Fall 2014,null,null,null
CS 4500,CS 4500 Software Development,CCIS,Mike Weintraub,53,Spring 2017,"America SCORES New England, Boston Housing Authority, Literacy Volunteers of Massachusetts, Massachusetts Promise Fellowship, Mayor's Office of Civic Engagement, Northeastern University Service-Learning Program, Northeastern University, College of Computer & Info Science, Northeastern University,Dept of Applied Psychology, Wediko Children's Services","Consultant, Program Support Assistant, Research Consultant, Service-Learning Teaching Assistant, Software Consultant",28
CS 5340,CS 5340 Computer-Human Interaction,CCIS,Andrea Parker,22,Fall 2016,"Citizen Schools, Mayor's Office of New Urban Mechanics, Northeastern University Service-Learning Program, Union Capital Boston","Consultant, Consultant (Computer), Service-Learning Teaching Assistant, Teacher",15
CTLR 4944,CTLR 4944 Spanish Culture,CSSH,Tania Muino Loureiro,34,Summer 2015,"Memorial Activa, Comedor Social San Vicente de Paul, Banco de Alimentos, Centro Residencial Montetabor - Bulullos, Maparra - Parraquia Jesus Obreero, Instituto Santa Aurelia, Cooperation International, Fundacion Auxilla Sevilla",null,null
DS 4200,DS 4200 Information Presentation & Visualization,CCIS,Michelle Borkin,16,Spring 2017,null,null,null
